"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
-0.005453, -0.016814, -0.05, 0, 0, 0, 0, 0, 0
0.010972, -0.00214, -0.05, 1, 0, 0, 0, 0, 0
0.021417, 0.006016, -0.05, 2, 0, 0, 0, 0, 0
0.032791, 0.012566, -0.05, 3, 0, 0, 0, 0, 0
0.045048, 0.017588, -0.05, 4, 0, 0, 0, 0, 0
0.06755899999999999, 0.02416, -0.05, 5, 0, 0, 0, 0, 0
-0.005453, -0.012054, -0.05, 0, 1, 0, 0, 0, 0
0.010972, 0.00262, -0.05, 1, 1, 0, 0, 0, 0
0.021417, 0.010776, -0.05, 2, 1, 0, 0, 0, 0
0.032791, 0.017326, -0.05, 3, 1, 0, 0, 0, 0
0.045048, 0.022348, -0.05, 4, 1, 0, 0, 0, 0
0.06755899999999999, 0.02892, -0.05, 5, 1, 0, 0, 0, 0
-0.005453, -0.007294, -0.05, 0, 2, 0, 0, 0, 0
0.010972, 0.00738, -0.05, 1, 2, 0, 0, 0, 0
0.021417, 0.015536, -0.05, 2, 2, 0, 0, 0, 0
0.032791, 0.022086, -0.05, 3, 2, 0, 0, 0, 0
0.045048, 0.027108, -0.05, 4, 2, 0, 0, 0, 0
0.06755899999999999, 0.03368, -0.05, 5, 2, 0, 0, 0, 0
-0.005453, -0.002534, -0.05, 0, 3, 0, 0, 0, 0
0.010972, 0.01214, -0.05, 1, 3, 0, 0, 0, 0
0.021417, 0.020296, -0.05, 2, 3, 0, 0, 0, 0
0.032791, 0.026846, -0.05, 3, 3, 0, 0, 0, 0
0.045048, 0.031868, -0.05, 4, 3, 0, 0, 0, 0
0.06755899999999999, 0.03844, -0.05, 5, 3, 0, 0, 0, 0
-0.005453, 0.002226, -0.05, 0, 4, 0, 0, 0, 0
0.010972, 0.0169, -0.05, 1, 4, 0, 0, 0, 0
0.021417, 0.025056, -0.05, 2, 4, 0, 0, 0, 0
0.032791, 0.031606, -0.05, 3, 4, 0, 0, 0, 0
0.045048, 0.036628, -0.05, 4, 4, 0, 0, 0, 0
0.06755899999999999, 0.0432, -0.05, 5, 4, 0, 0, 0, 0
-0.005453, 0.006986, -0.05, 0, 5, 0, 0, 0, 0
0.010972, 0.02166, -0.05, 1, 5, 0, 0, 0, 0
0.021417, 0.029816, -0.05, 2, 5, 0, 0, 0, 0
0.032791, 0.036366, -0.05, 3, 5, 0, 0, 0, 0
0.045048, 0.041388, -0.05, 4, 5, 0, 0, 0, 0
0.06755899999999999, 0.04796, -0.05, 5, 5, 0, 0, 0, 0
-0.005453, -0.016814, 0, 0, 0, 1, 0, 0, 0
0.010972, -0.00214, 0, 1, 0, 1, 0, 0, 0
0.021417, 0.006016, 0, 2, 0, 1, 0, 0, 0
0.032791, 0.012566, 0, 3, 0, 1, 0, 0, 0
0.045048, 0.017588, 0, 4, 0, 1, 0, 0, 0
0.06755899999999999, 0.02416, 0, 5, 0, 1, 0, 0, 0
-0.005453, -0.012054, 0, 0, 1, 1, 0, 0, 0
0.01092483527164692, 0.002692215952782703, 0, 1, 1, 1, 1, 1, 0
0.02141177924617451, 0.0107874760513609, 0, 2, 1, 1, 1, 1, 0
0.03280008952272534, 0.01731706414737946, 0, 3, 1, 1, 1, 1, 0
0.04504929488703759, 0.02235145245393797, 0, 4, 1, 1, 1, 1, 0
0.06755899999999999, 0.02892, 0, 5, 1, 1, 0, 0, 0
-0.005453, -0.007294, 0, 0, 2, 1, 0, 0, 0
0.01093372354009442, 0.007438967069364683, 0, 1, 2, 1, 1, 1, 0
0.02141682622801567, 0.01553024520370095, 0, 2, 2, 1, 1, 1, 0
0.03280614802611744, 0.02208314004591064, 0, 3, 2, 1, 1, 1, 0
0.04504247837236273, 0.0271704092253435, 0, 4, 2, 1, 1, 1, 0
0.06755899999999999, 0.03368, 0, 5, 2, 1, 0, 0, 0
-0.005453, -0.002534, 0, 0, 3, 1, 0, 0, 0
0.01079231914488793, 0.0122411848644732, 0, 1, 3, 1, 1, 1, 0
0.02123531997204131, 0.02046813116179288, 0, 2, 3, 1, 1, 1, 0
0.03271071240262335, 0.0269749559971279, 0, 3, 3, 1, 1, 1, 0
0.04501750288059134, 0.03198801512112587, 0, 4, 3, 1, 1, 1, 0
0.06755899999999999, 0.03844, 0, 5, 3, 1, 0, 0, 0
-0.005453, 0.002226, 0, 0, 4, 1, 0, 0, 0
0.0110433430880221, 0.0166856155330947, 0, 1, 4, 1, 1, 1, 0
0.02138968536478164, 0.02492150407129795, 0, 2, 4, 1, 1, 1, 0
0.03278547329811538, 0.0315309038850376, 0, 3, 4, 1, 1, 1, 0
0.04504758446701473, 0.03662447869141416, 0, 4, 4, 1, 1, 1, 0
0.06755899999999999, 0.0432, 0, 5, 4, 1, 0, 0, 0
-0.005453, 0.006986, 0, 0, 5, 1, 0, 0, 0
0.010972, 0.02166, 0, 1, 5, 1, 0, 0, 0
0.021417, 0.029816, 0, 2, 5, 1, 0, 0, 0
0.032791, 0.036366, 0, 3, 5, 1, 0, 0, 0
0.045048, 0.041388, 0, 4, 5, 1, 0, 0, 0
0.06755899999999999, 0.04796, 0, 5, 5, 1, 0, 0, 0
-0.005453, -0.016814, 0.05, 0, 0, 2, 0, 0, 0
0.010972, -0.00214, 0.05, 1, 0, 2, 0, 0, 0
0.021417, 0.006016, 0.05, 2, 0, 2, 0, 0, 0
0.032791, 0.012566, 0.05, 3, 0, 2, 0, 0, 0
0.045048, 0.017588, 0.05, 4, 0, 2, 0, 0, 0
